filename,width,height,xmin,ymin,xmax,ymax,class
hp_1.jpg,3000,4000,958,1838,1649,2395,Comp
hp_10.jpg,4000,3000,2269,774,2582,1084,Comp
hp_100.jpg,4624,2136,1110,652,1497,1003,Comp
hp_101.jpg,4624,2136,942,723,1365,1200,Comp
hp_101.jpg,4624,2136,1910,823,2378,1258,Comp
hp_101.jpg,4624,2136,3968,1378,4359,1981,Comp
hp_102.jpg,4624,2136,1097,632,1507,1100,Comp
hp_102.jpg,4624,2136,2133,800,2530,1294,Comp
hp_102.jpg,4624,2136,4007,1378,4517,1939,Comp
hp_103.jpg,4624,2136,1101,636,1481,1065,Comp
hp_103.jpg,4624,2136,2023,758,2497,1171,Comp
hp_103.jpg,4624,2136,3997,1374,4501,2000,Comp
hp_104.jpg,4624,2136,920,390,1401,645,Comp
hp_104.jpg,4624,2136,2059,610,2497,1094,Comp
hp_104.jpg,4624,2136,3649,1300,4165,1939,Comp
hp_105.jpg,4624,2136,1181,429,1494,787,Comp
hp_105.jpg,4624,2136,2017,568,2510,1013,Comp
hp_105.jpg,4624,2136,3597,1271,4110,1903,Comp
hp_106.jpg,4624,2136,1333,490,1562,758,Comp
hp_106.jpg,4624,2136,2062,555,2439,1061,Comp
hp_106.jpg,4624,2136,3623,1274,4104,1894,Comp
hp_107.jpg,4624,2136,1526,1510,2113,1923,Comp
hp_107.jpg,4624,2136,2920,939,3368,1210,Comp
hp_107.jpg,4624,2136,3358,812,3562,1055,Comp
hp_108.jpg,4624,2136,946,1552,1410,1790,Comp
hp_108.jpg,4624,2136,3017,1510,3417,1832,Comp
hp_108.jpg,4624,2136,3455,1507,3836,1723,Comp
hp_109.jpg,4624,2136,739,1516,1265,1858,Comp
hp_109.jpg,4624,2136,3036,1478,3401,1803,Comp
hp_109.jpg,4624,2136,3488,1423,3930,1674,Comp
hp_11.jpg,4000,3000,2647,1281,3114,1552,Comp
hp_110.jpg,4624,2136,639,1716,1136,1965,Comp
hp_110.jpg,4624,2136,3033,1455,3433,1784,Comp
